Address,Reputation,Iteration
8002,0.0,0
8016,0.0,0
8019,0.5625,0
8189,0.0,0
8013,1.0,0
8010,0.5625,0
8162,0.0,0
8176,0.0,0
8012,0.75,0
8018,1.0,0
8024,0.5625,0
8006,0.625,0
8027,1.0,0
8009,1.0,0
8034,0.75,0
8177,1.0,1
8161,0.625,1
8043,0.75,1
8013,1.0,1
8008,0.75,1
8149,0.75,1
8160,0.625,1
8026,0.75,1
8012,0.75,1
8018,1.0,1
8175,0.75,1
8027,1.0,1
8009,1.0,1
8034,0.75,1
8170,0.75,1
8016,0.0,0
8002,0.0,0
8004,0.0,0
8038,0.0,0
8017,0.0,0
8149,0.0,0
8015,0.0,0
8029,0.0,0
8010,0.0,0
8148,0.0,0
8014,0.0,0
8000,0.0,0
8016,0.0,1
8002,0.0,1
8009,1.0,1
8028,1.0,1
8007,0.75,1
8017,0.0,1
8018,1.0,1
8022,0.75,1
8149,0.0,1
8005,1.0,1
8011,0.625,1
8013,1.0,1
8015,0.0,0
8016,0.0,0
8014,0.0,0
8029,0.0,0
8000,0.0,0
8001,0.0,0
8028,0.0,0
8017,0.0,0
8009,1.0,1
8026,0.75,1
8037,0.5625,1
8002,0.625,1
8031,0.75,1
8038,0.75,1
8027,1.0,1
8010,0.5625,1
8009,1.0,2
8026,0.75,2
8002,0.625,2
8031,0.75,2
8049,0.75,2
8008,0.75,2
8012,0.75,2
8027,1.0,2
8005,1.0,3
8009,1.0,3
8049,0.75,3
8008,0.75,3
8030,0.75,3
8018,1.0,3
8012,0.75,3
8027,1.0,3
8009,1.0,4
8034,0.75,4
8022,0.75,4
8049,0.75,4
8008,0.75,4
8018,1.0,4
8012,0.75,4
8027,1.0,4
8005,1.0,5
8009,1.0,5
8039,0.75,5
8022,0.75,5
8049,0.75,5
8038,0.75,5
8018,1.0,5
8027,1.0,5
8005,1.0,6
8013,1.0,6
8009,1.0,6
8034,0.75,6
8039,0.75,6
8049,0.75,6
8018,1.0,6
8027,1.0,6
8005,1.0,7
8013,1.0,7
8009,1.0,7
8034,0.75,7
8049,0.75,7
8008,0.75,7
8018,1.0,7
8027,1.0,7
8013,1.0,8
8009,1.0,8
8034,0.75,8
8031,0.75,8
8049,0.75,8
8038,0.75,8
8008,0.75,8
8018,1.0,8
8005,1.0,9
8009,1.0,9
8031,0.75,9
8049,0.75,9
8038,0.75,9
8008,0.75,9
8018,1.0,9
8027,1.0,9
8005,1.0,10
8013,1.0,10
8009,1.0,10
8031,0.75,10
8049,0.75,10
8008,0.75,10
8018,1.0,10
8027,1.0,10
8005,1.0,11
8013,1.0,11
8026,0.75,11
8049,0.75,11
8038,0.75,11
8008,0.75,11
8018,1.0,11
8027,1.0,11
8005,1.0,12
8013,1.0,12
8009,1.0,12
8026,0.75,12
8049,0.75,12
8008,0.75,12
8018,1.0,12
8027,1.0,12
8005,1.0,13
8009,1.0,13
8026,0.75,13
8031,0.75,13
8049,0.75,13
8038,0.75,13
8008,0.75,13
8018,1.0,13
8013,1.0,14
8009,1.0,14
8026,0.75,14
8031,0.75,14
8038,0.75,14
8008,0.75,14
8018,1.0,14
8027,1.0,14
8013,1.0,15
8009,1.0,15
8026,0.75,15
8031,0.75,15
8049,0.75,15
8038,0.75,15
8008,0.75,15
8018,1.0,15
8005,1.0,16
8013,1.0,16
8026,0.75,16
8031,0.75,16
8049,0.75,16
8008,0.75,16
8018,1.0,16
8027,1.0,16
8013,1.0,17
8009,1.0,17
8026,0.75,17
8031,0.75,17
8049,0.75,17
8008,0.75,17
8018,1.0,17
8027,1.0,17
8005,1.0,18
8009,1.0,18
8026,0.75,18
8031,0.75,18
8049,0.75,18
8038,0.75,18
8008,0.75,18
8027,1.0,18
8005,1.0,19
8009,1.0,19
8026,0.75,19
8031,0.75,19
8049,0.75,19
8038,0.75,19
8018,1.0,19
8027,1.0,19
8005,1.0,20
8013,1.0,20
8026,0.75,20
8031,0.75,20
8049,0.75,20
8038,0.75,20
8018,1.0,20
8027,1.0,20
8005,1.0,21
8013,1.0,21
8009,1.0,21
8026,0.75,21
8049,0.75,21
8008,0.75,21
8018,1.0,21
8027,1.0,21
8005,1.0,22
8013,1.0,22
8026,0.75,22
8031,0.75,22
8038,0.75,22
8008,0.75,22
8018,1.0,22
8027,1.0,22
8005,1.0,23
8013,1.0,23
8009,1.0,23
8049,0.75,23
8038,0.75,23
8008,0.75,23
8018,1.0,23
8027,1.0,23
8005,1.0,24
8009,1.0,24
8026,0.75,24
8031,0.75,24
8049,0.75,24
8038,0.75,24
8018,1.0,24
8027,1.0,24
8005,1.0,25
8013,1.0,25
8026,0.75,25
8031,0.75,25
8038,0.75,25
8008,0.75,25
8018,1.0,25
8027,1.0,25
8013,1.0,26
8009,1.0,26
8026,0.75,26
8031,0.75,26
8049,0.75,26
8008,0.75,26
8018,1.0,26
8027,1.0,26
8005,1.0,27
8013,1.0,27
8026,0.75,27
8031,0.75,27
8049,0.75,27
8008,0.75,27
8018,1.0,27
8027,1.0,27
8005,1.0,28
8013,1.0,28
8009,1.0,28
8026,0.75,28
8038,0.75,28
8008,0.75,28
8018,1.0,28
8027,1.0,28
8005,1.0,29
8009,1.0,29
8031,0.75,29
8049,0.8333334,29
8038,0.75,29
8008,0.75,29
8018,1.0,29
8027,1.0,29
8005,1.0,30
8013,1.0,30
8026,0.75,30
8031,0.75,30
8038,0.75,30
8008,0.75,30
8018,1.0,30
8027,1.0,30
